dates,vSP500,sp500star,eu0w,eu010,eu015,noteu0w,noteu005,noteu010,eupw,eup10,eup15,us0w,us090,us095,uspw,usp90,usp95
2008-07-16,1245.36,87.7759741200519,59.8975855740057,57.7977378486654,71.740580525874,89.8576050501069,106.418837552971,100.300686085157,58.6036268360398,62.3957505916218,63.3008250202024,104.696305189357,175.816578437414,194.307094793748,100.613403956437,171.70156695468,190.778122766588
2008-07-17,1260.32,85.8587916127592,60.0665948059379,58.0745615573825,72.1671255948151,87.7690009251006,102.806606905762,97.405395956187,59.1764806694664,63.1747973580199,63.7287983449129,100.999741870146,164.71881791836,181.782248435555,97.2714929844878,161.015094050284,178.624946365887
2008-07-18,1260.68,85.6035715256307,59.6385998095007,58.1283047368083,72.2399393584293,87.5179958365007,102.85531717746,96.9937128443716,59.2341786790122,63.0381962229825,63.0029719552105,100.30894977318,162.48225528114,179.193107158438,96.7460352376403,158.893213000734,176.15276595687
2008-07-21,1260,87.6452351368167,59.4434208502095,57.9231516995367,71.7792670487855,89.7183235924583,106.334763628791,99.8839133149275,59.2276327406257,63.1279812270617,62.6705461960209,103.320151942825,169.873541455255,187.576632473377,99.586647878814,166.032142516781,184.313052303362
2008-07-22,1277,83.8000806293793,60.5355807745115,58.9658678390218,73.3001016615529,85.5065639466946,98.9504842855335,93.9699222517704,60.4205872443344,64.516466982041,63.9309682063471,95.882171782916,146.466136725116,160.74610824563,92.8327271869662,143.440891618605,158.210629816588
2008-07-23,1282.19,80.2489152616878,61.0852748908883,59.6534351188556,74.6435272104746,81.6534511780814,92.6907896490741,88.6645621714451,60.5214208615733,64.6513154186423,64.442863651655,89.8638279862978,128.948258593934,140.755793177061,87.2625192668596,126.527181495306,138.76025587212
2008-07-24,1252.54,80.8934462813733,60.157500191907,58.7329389953922,73.4616448731494,82.4246010779999,94.6292928100304,90.020302839901,59.3385113611179,63.0169320440327,63.4214890221859,92.1593764760561,139.230287531808,152.617117982926,89.2401925820058,136.395214566309,150.244959333632
2008-07-25,1257.76,80.4640039713185,60.4284461231388,58.8854440906166,73.5068033312349,81.9486851836275,93.735298796001,89.3713338537746,59.4230334548623,63.1859660522015,63.6473238439674,91.2976575541726,136.51839420135,149.569162646208,88.4256377763164,133.769729059811,147.269008590339
2008-07-28,1234.37,79.7793404733856,59.0644445634304,57.4776535787405,71.5746933047377,81.3158358721535,93.5912221380554,89.0240013742815,57.9737903017892,61.4692570178301,62.1139703779085,91.4351414990071,140.610935647795,154.342570728809,88.4476694621253,137.683033616309,151.878235504476
2008-07-29,1263.2,78.917830992084,60.1423264502027,58.6184126670919,73.2688001279293,80.3029309966685,91.2863032688441,87.2783671465044,59.0936106885328,62.7295552298813,63.3064906308634,89.1204633561462,131.582076089854,143.919005967309,86.4281185356354,129.022635647838,141.781787978857
2008-07-30,1284.26,83.2134149897691,61.275702303762,59.7847939140757,74.6549308740721,84.8198854795374,97.481943648224,92.7822793348059,60.2344596756226,64.1214275201098,64.3955034644737,95.2355853721653,145.811213831524,159.915868833032,92.1656410855132,142.804702810124,157.370020765835
2008-07-31,1267.38,81.6318851446396,59.9789126494877,58.4490267960839,73.0091569383133,83.2141201793751,95.7351649652065,91.086641031814,59.1501679779444,62.8520401551591,63.1840783428345,93.4769090631711,142.965545615216,156.777550529366,90.483733857785,140.040517024995,154.300080930041
2008-08-01,1260.31,80.6343714263429,59.5842979684848,58.0499534988271,72.5601339916954,82.1700974014207,94.3491309176635,89.8181285441189,58.6906945693975,62.3359505524163,62.5188183396377,91.9605315623054,139.384753319097,152.804686807294,89.0510232441639,136.472720798038,150.432492447909
2008-08-04,1249.01,76.6191434658082,59.1825867715853,57.7365912294979,72.2449880674478,77.9020083870525,88.1967060011596,84.3794358380929,58.1967409891208,61.6143402184127,61.9840358034837,85.8886026089266,124.195080680975,135.58121068593,83.3836304406343,121.788268432534,133.661128338998
2008-08-05,1284.88,77.770583734989,60.9523864505775,59.5444163065926,74.699303585803,79.0056057836637,88.9275929196632,85.2392728173748,59.7354416042999,63.4085132425181,63.6885915359351,86.4275088328279,121.307046931985,132.125779744036,84.0111500726707,119.09112728423,130.36806450386
2008-08-06,1289.19,79.012100252604,60.9708852956058,59.4844830520068,74.4082029963454,80.3414758748459,91.0703472575422,87.0332424534414,59.784346538681,63.4314830912603,63.734319744729,88.5772794994244,127.917890484199,139.783841442405,85.9870548659939,125.428739441021,137.795023848823
2008-08-07,1266.07,76.4365046509612,60.0567828231573,58.6512207290974,73.3664327405964,77.6478681749841,87.5039465026817,83.7894450871381,58.7358143322589,62.1620718821345,62.7599245945991,85.6791122374203,124.452979958973,135.965188883027,83.1874709620977,122.031424613426,134.040794680939
2008-08-08,1296.32,75.8879017593913,61.5317558259451,60.3024150022459,75.5853474046914,76.9489323229318,85.6245900412679,82.3419483037331,59.9118117984119,63.5538733669679,64.1523026148347,83.8364446369336,116.372192119256,126.657716298414,81.5675803936164,114.303718116824,125.049212289032
2008-08-11,1305.32,76.0872497015867,61.9218546444189,60.6463407176479,76.1335829463847,77.1322613977803,85.6812163768907,82.4586358279152,60.1515243731363,63.9050428195018,64.4340514540576,84.07159925782,116.542143238526,126.813510173222,81.8183363192882,114.486790458943,125.216489334458
2008-08-12,1289.59,76.5227798699176,61.5657492287366,60.3046233071144,75.7294207877902,77.6343550643046,86.8730849131116,83.2684501294471,59.40176889233,63.0204519258527,63.8826164297309,85.5798417740911,122.758977426009,134.134179127423,83.0895801356957,120.437942410104,132.29435160886
2008-08-13,1285.83,78.2210857441538,61.2162591549309,59.8994298483476,75.0250736881528,79.4846349876447,89.9450397011659,85.8289552843293,59.1199200392688,62.7073011296589,63.5109152007085,88.5180318966675,131.346820330988,143.983137535071,85.7774420970881,128.707534422658,141.859847352864
2008-08-14,1292.93,77.7402323989149,61.3616736775884,60.0268451499872,75.3056839418494,78.9546669738614,88.9875598585731,85.075799429851,59.3243800948071,62.9093123955845,63.8094995516712,87.5371391964585,127.971943933497,140.127817079457,84.8896187598761,125.479415024315,138.124107428949
2008-08-15,1298.2,77.075245922396,61.6144202845919,60.3305938350805,75.7978506666476,78.2199288563104,87.7142529776871,84.0050794463644,59.4489550750101,63.1001067192683,64.0016806964248,86.3541157556743,124.184323597523,135.707065205201,83.814271922615,121.847718427773,133.846033116025
2008-08-18,1278.6,75.8383567501733,60.8035477972404,59.6349036743282,74.8768862344968,76.9548115771034,86.3029951812681,82.5741127147363,58.5160399346078,62.0006629754274,63.0467670058861,85.0800071100255,122.774479211,134.1732437507,82.5400378778374,120.455752497165,132.326640740458
2008-08-19,1266.69,77.2467464485184,60.1344766869658,58.8717616542339,73.6890829288925,78.5174107431893,89.0979011610993,84.878529787712,57.8980086501433,61.3153204380713,62.2728430044263,87.7614559083642,131.361938825399,144.039154794311,84.9848072743413,128.714438115312,141.899999773169
2008-08-20,1274.54,79.0260343756913,60.2315056198352,58.9770645688486,73.7780133861574,80.4152142356551,91.955215429857,87.2927379001,58.0616730347353,61.5749346311067,62.2398611910011,90.4230554208588,137.893728111698,151.406938070314,87.4814086991198,135.031129782103,149.080689393677
2008-08-21,1277.72,79.9632655272957,60.6319547447407,59.4085058874772,74.1529294741136,81.3906887415838,93.1985605684133,88.4318795294283,58.400533065986,61.9771802997634,62.5930192240636,91.7048221438125,140.922213589494,154.939858970819,88.7063776033182,137.968814918567,152.526918141498
2008-08-22,1292.2,78.6262636002156,61.0762769618067,59.8942193461812,74.8277657673442,79.919635967138,90.6412946723875,86.3245654437174,58.9737705605293,62.5685683502423,63.1511908712243,89.1413669437539,133.059189582976,145.849655414337,86.3873235088271,130.40612451635,143.705045675142
2008-08-25,1266.84,78.1115329924779,59.7744024994465,58.4914775158399,72.9529513312398,79.4649668790001,90.6616629986123,86.1829848608469,57.7751832787216,61.2274990687038,61.820710837687,89.1877959532765,135.70968621856,149.03716934703,86.3490413470195,132.920916390759,146.766032380553
2008-08-26,1271.51,79.6598176710687,59.701727755653,58.4761632684067,72.8866951145602,81.1278263613188,93.2727167320925,88.3403327698291,57.7741013312701,61.2263063535288,61.6591558587759,91.5321505145817,141.253752412587,155.353157498423,88.5409872161938,138.292738807645,152.925685413367
2008-08-27,1281.66,80.7992022982455,59.7000226416741,58.5863784272858,72.8845801209791,82.3451079311034,95.1507381675028,89.8712797468551,57.8894236520784,61.3551044467368,61.631201318144,93.2371400514815,145.276392041702,159.850966263883,90.1505453590359,142.200714606126,157.319285740681
2008-08-28,1300.68,80.1470144633057,60.5171811211905,59.4931441777543,74.1066665204267,81.5798278947372,93.3982973012053,88.5622527308158,58.805063479486,62.4323222237177,62.5780471006563,91.4230073499308,138.245621863555,151.673426443336,88.5685087663791,135.457929357051,149.396406380841
2008-08-29,1282.83,78.8913053197774,59.4430006488559,58.4065226642709,72.5057630317675,80.3081824354252,91.9142788484043,87.2047545560141,57.8749895328544,61.4150282153156,61.4584867873036,89.8774295498364,135.43801904638,148.531637057215,87.1207520280398,132.730057449904,146.32160127933
2008-09-01,1282.83,78.9937810521271,59.7537968737991,58.4804115030017,72.3878770818427,80.3961992500178,91.674970544337,87.2982946117606,58.2421984759176,61.8772323488077,61.9461640978214,89.682984118826,133.838701153344,146.591783944119,86.974434436762,131.254763780189,144.446666846941
2008-09-02,1277.58,76.1461544162901,60.1962277754022,58.9441230940416,73.2252932727229,77.3133862732725,86.7479546880138,83.1420064593935,58.2482619608929,61.8738507692554,62.1410665419924,85.1533099095684,121.594948074711,132.592260962965,82.7568866017811,119.423157861672,130.831945594161
2008-09-03,1274.98,76.2523025997282,59.9831120731225,58.8282658944596,73.0431328902448,77.4363765988942,86.918472131423,83.2853127313825,58.1519757796963,61.9009687066103,62.0114929445865,85.1739175054109,121.187767064744,132.200011524311,82.7870851250439,119.036650838612,130.450770744554
