ISIN,NAME,count,avgSharesEU,avgSharesEUplus,avgSharesUS,avgSharesUSplus
US1720621010,CINCINNATI FINL.,92,0,0,1,1
US1727371080,CIRCUIT CITY STORES DEAD - DELIST.28/09/11,40,0,0,0.978281005309194,0.978281005309194
US17275R1023,CISCO SYSTEMS,92,0.0955685353314481,0.24631323631695,0.549827099157027,0.549827099157027
US1729081059,CINTAS,80,0,0,1,1
US1729674242,CITIGROUP,92,0,0.144822307004733,0.373132533208226,0.55620459063877
US1773761002,CITRIX SYS.,85,0,0.326029816157117,0,0.352996761733574
US1845021021,CLEAR CHL.COMMS. DEAD - DELIST.11/08/08,42,0,0,0,0
US1890541097,CLOROX,92,0,0,0.830442256404075,0.830442256404075
US1912161007,COCA COLA,92,0.0879703832064159,0.272423886797945,0.160271891012007,0.301189224163351
US1924461023,COGNIZANT TECH.SLTN.'A',57,0.159501535718603,0.159501535718603,0,0.806561123833701
US1941621039,COLGATE-PALM.,92,0.155334330136889,0.222457370369716,0.20399952352847,0.259748275049068
US20030N1019,COMCAST A,92,0.038479984201766,0.038479984201766,0.95107437394796,0.95107437394796
US2003401070,COMERICA,92,0,0,1.02695650480648,1.02695650480648
US2056381096,COMPUWARE DEAD - DELIST.16/12/14,52,0.0525154052281839,0.217565413432606,0.677396875298005,0.677396875298005
US2058871029,CONAGRA BRANDS,92,0,0,0.953789002864943,0.953789002864943
US20825C1045,CONOCOPHILLIPS,92,0.101031890098377,0.101031890098377,0.694822084746593,0.694822084746593
US2091151041,CONSOLIDATED EDISON,92,0,0,1,1
US21036P1084,CONSTELLATION BRANDS 'A',62,0.165970847275301,0.276618078792168,0.741620418672855,0.741620418672855
US2103711006,CONSTELLATION EN. DEAD - AQCD.BY 902317,56,0,0,1,1
US2193501051,CORNING,92,0.130205353138475,0.130205353138475,0.329804933763388,0.363476566256474
US22160K1051,COSTCO WHOLESALE,92,0,0,0.623557015201279,0.653053429486236
US2223721042,COUNTRYWIDE FINL. DEAD - DELIST.11/07/08,42,0,0,1,1
US2310211063,CUMMINS,92,0.0786112639325643,0.131018773220941,0.504367867668077,0.517040294528771
US23331A1097,D R HORTON,62,0,0,1,1
US2333311072,DTE ENERGY,92,0,0,1,1
US23355L1061,DXC TECHNOLOGY,86,0.310656086280044,0.310656086280044,0.567739697656249,0.567739697656249
US2358511028,DANAHER,89,0.0995655376193068,0.124456922024134,0.532418581087712,0.532418581087712
US2371941053,DARDEN RESTAURANTS,92,0,0,1,1
US23918K1088,DAVITA,50,0,0,0.990040376850606,0.990040376850606
US2441991054,DEERE,92,0.0416713562183455,0.208356781091728,0.386939056188942,0.512454890088008
US24702R1014,DELL DEAD - DELIST.30/10/13,63,0.143641457360187,0.21546218604028,0.172981645905834,0.629146785190461
US24906P1093,DENTSPLY SIRONA,49,0.15294730862831,0.191184135785387,0.433211099704614,0.433211099704614
US25179M1036,DEVON ENERGY,82,0,0,0.711181090131572,0.711181090131572
US2540671011,DILLARDS 'A',43,0,0,1,1
US2546871060,WALT DISNEY,92,0.131160156237458,0.131160156237458,0.32784926968265,0.795887150255358
US2547091080,DISCOVER FINANCIAL SVS.,54,0.0125422841211241,0.0125422841211241,0.987457715878876,0.987457715878876
US25470F1049,DISCOVERY SERIES A,44,0,0,0.610666185493476,0.610666185493476
US25746U1097,DOMINION ENERGY,92,0,0,0.992322096190068,0.992322096190068
US2578672006,R R DONNELLEY & SONS,59,0.0636655739087304,0.0795819673859131,0.800035118806061,0.800035118806061
US2600031080,DOVER,92,0.181637125182611,0.181637125182611,0.575211920629694,0.575211920629694
US2605431038,DOW CHEMICAL DEAD - DELIST.01/09/17,78,0.139740665588158,0.339046874589966,0.357374826790139,0.357374826790139
US2635341090,E I DU PONT DE NEMOURS DEAD - DELIST.01/09/17,78,0.122010307724769,0.179568775189586,0.386799768747512,0.393683970896338
US26441C2044,DUKE ENERGY,92,0,0,0.900443078705172,0.900443078705172
US2686481027,EMC DEAD - DELIST.07/09/16,74,0,0.279127497717423,0.411154953486587,0.564325801388763
US26875P1012,EOG RES.,81,0.00575800374176879,0.0287900187088439,0.85964750457375,0.85964750457375
US26884L1098,EQT,40,0,0,1,1
US2692464017,E TRADE FINANCIAL DEAD - DELIST.05/10/20,66,0.0273278591406175,0.0273278591406175,0.941542300367706,0.941542300367706
US2774321002,EASTMAN CHEMICAL,92,0.0447629083245522,0.228514083193592,0.385974707756483,0.531108579409692
US2774611097,EASTMAN KODAK DEAD - DELIST.03/09/13,51,0,0,0,0
US2786421030,EBAY,74,0.214161407022616,0.285548542696821,0.457260032834467,0.457260032834467
US2788651006,ECOLAB,92,0,0.180293980849163,0.585579317627208,0.585579317627208
US2810201077,EDISON INTL.,92,0.0194589058632756,0.0243236323290945,0.974101179489716,0.974101179489716
US28336L1098,EL PASO DEAD - MERGER.74500P,50,0,0,0.958104619561036,0.958104619561036
US2855121099,ELECTRONIC ARTS,74,0.229861342177662,0.383102236962771,0,0.505143317919821
US2856611049,ELECTRONIC DATA SYSTEMS DEAD - DELIST.05/09/08,40,0.155416240072198,0.155416240072198,0.553572971962603,0.553572971962603
US2910111044,EMERSON ELECTRIC,92,0.196618293178951,0.196618293178951,0.316156468557113,0.395195585696391
US29364G1031,ENTERGY,92,0,0,1,1
US2944291051,EQUIFAX,92,0.0524780182988315,0.0655975228735394,0.746014077905497,0.746014077905497
US29476L1070,EQUITY RESD.TST.PROPS. SHBI,77,0,0,1,1
US30040W1080,EVERSOURCE ENERGY,48,0,0,1,1
US30161N1019,EXELON,92,0,0,1,1
US30212P3038,EXPEDIA GROUP,53,0,0,0.6579014319103,0.6579014319103
US3021301094,EXPEDITOR INTL.OF WASH.,53,0.101514030673199,0.128537729933848,0.238052278481911,0.246602096576676
US30219G1085,EXPRESS SCRIPTS HOLDING DEAD - DELIST.21/12/18,55,0,0,0.998709203460751,0.998709203460751
US30231G1022,EXXON MOBIL,92,0,0,0.339857060908653,0.339857060908653
US3024451011,FLIR SYSTEMS DEAD - DELIST.17/05/21,48,0.187205007300855,0.24960667640114,0.536369990814025,0.536369990814025
US3024913036,FMC,62,0,0.230316836833298,0.0866233600815183,0.340506587718769
US3070001090,FAMILY DOLLAR STORES DEAD - DELIST.07/07/15,56,0,0,1,1
US3119001044,FASTENAL,50,0,0,0.898034250427551,0.898034250427551
US3134003017,FREDDIE MAC,42,0,0,1,1
US3135861090,FANNIE MAE,42,0,0,1,1
US31428X1063,FEDEX,92,0,0,0.729242000281716,0.729242000281716
US3156161024,F5 NETWORKS,41,0.0464833292034069,0.19094421142627,0.497871468293557,0.663828624391409
US31620M1062,FIDELITY NAT.INFO.SVS.,57,0,0,0.75,0.940228648820905
US3167731005,FIFTH THIRD BANCORP,92,0,0,1,1
US3205171057,FIRST HORIZON,44,0,0,1,1
US3377381088,FISERV,79,0,0,0.927498797615131,0.927498797615131
US3379321074,FIRSTENERGY,92,0,0,1,1
US3434121022,FLUOR,74,0.146170822579665,0.146170822579665,0.474875477612715,0.474875477612715
US34354P1057,FLOWSERVE,49,0.177169459583619,0.381820068296376,0.435024956192692,0.435024956192692
US3453708600,FORD MOTOR,92,0.190924025184076,0.190924025184076,0.601080836711046,0.601080836711046
US3458381064,FOREST LABS. DEAD - DELIST.01/07/14,55,0.0240152981766953,0.0240152981766953,0.973893782941792,0.973893782941792
US3546131018,FRANKLIN RESOURCES,91,0.138527499963023,0.138527499963023,0.650497668696678,0.650497668696678
US35671D8570,FREEPORT-MCMORAN,92,0.21501773255744,0.21501773255744,0.234092951837417,0.234092951837417
US35906A3068,FRONTIER COMMUNICATIONS DEAD - DELIST.03/05/21,64,0,0,0,0
US3647601083,GAP,92,0.031108351510496,0.03888543938812,0.872083069875823,0.872083069875823
US3695501086,GENERAL DYNAMICS,92,0.0676029429688404,0.0676029429688404,0.829805097797345,0.836668995601533
US3696043013,GENERAL ELECTRIC,92,0.194886048822171,0.194886048822171,0.52837368114013,0.52837368114013
US3703341046,GENERAL MILLS,92,0,0,0.815386673363102,0.815386673363102
US3724601055,GENUINE PARTS,92,0.0291328527226686,0.145664263613343,0.879828411866847,0.879828411866847
US37247D1063,GENWORTH FINANCIAL CL.A,40,0,0,0.845098934064135,0.845098934064135
US3755581036,GILEAD SCIENCES,66,0.394665822333442,0.394665822333442,0.520006966543711,0.520006966543711
US37959E1029,GLOBE LIFE,92,0,0,1,1
US38141G1040,GOLDMAN SACHS GP.,74,0.0605424954792043,0.27132129823811,0.344694604027656,0.43086825503457
US3823881061,GOODRICH DEAD - DELIST.27/07/12,58,0.299477389001928,0.299477389001928,0.527233136491553,0.527233136491553
US3825501014,GOODYEAR TIRE & RUB.,84,0.0582873029016038,0.0971455048360063,0.450079725316982,0.450079725316982
US3848021040,WW GRAINGER,92,0,0,0.836991499145627,0.836991499145627
US40434L1052,HP,92,0,0.346475043697805,0.388636026592473,0.388636026592473
US4062161017,HALLIBURTON,92,0.0444950590609852,0.148468428657301,0.266777844778444,0.381617264234289
US4128221086,HARLEY-DAVIDSON,81,0.0789450016707453,0.108046538109019,0.753256595153065,0.753256595153065
US4130861093,HARMAN INTL.INDS. DEAD - DELIST.13/03/17,44,0.518770601845444,0.518770601845444,0.29824649657037,0.29824649657037
US4136191073,HARRAHS ENTERTAINMENT DEAD - MERGER.08/02/08,40,0,0,1,1
US4165151048,HARTFORD FINL.SVS.GP.,92,0.000938583962456641,0.0015643066040944,0.4,0.956258944048538
US4180561072,HASBRO,92,0,0,0.555750782311639,0.555750782311639
US42250P1030,HEALTHPEAK PROPERTIES,52,0,0,1,1
US4230741039,HJ HEINZ DEAD - DELIST.10/06/13,61,0.281358041280294,0.281358041280294,0.217177063082061,0.459220890406335
US4234521015,HELMERICH & PAYNE,48,0,0,0.837199045552007,0.837199045552007
US4270561065,HERCULES DEAD - DELIST.24/11/08,43,0.336441715078808,0.336441715078808,0.511964768550993,0.511964768550993
US4278661081,HERSHEY,92,0,0,0.508045364873307,0.908045364873307
US42809H1077,HESS,92,0.205706230543685,0.257132788179606,0.663815219519689,0.663815219519689
US4325891095,HILLSHIRE BRANDS DEAD - DELIST.28/08/14,57,0.164951118160362,0.164951118160362,0.58617661279055,0.58617661279055
US4370761029,HOME DEPOT,92,0,0,0.914742969114943,0.914742969114943
US4385161066,HONEYWELL INTL.,92,0.216232841383868,0.216232841383868,0.635217786372849,0.635217786372849
US4404521001,HORMEL FOODS,48,0,0,0.947305529378829,0.947305529378829
US4410601003,HOSPIRA DEAD - DELIST.03/09/15,45,0,0.124706422955172,0.416449981269245,0.816978419949935
US44107P1049,HOST HOTELS & RESORTS REIT,56,0.000766283524904214,0.00383141762452107,0.971420916677135,0.971420916677135
US4432011082,HOWMET AEROSPACE,92,0.160477183540433,0.160477183540433,0.57026317310846,0.57026317310846
US4448591028,HUMANA,92,0,0,1,1
US4461501045,HUNTINGTON BCSH.,92,0,0,1,1
US4499341083,IMS HEALTH DEAD - DELIST.08/03/10,46,0.446645360248922,0.446645360248922,0,0.451808227963727
US45073V1089,ITT,55,0.202750997691279,0.253438747114099,0.558579342792059,0.558579342792059
