date,release_type,spx,vix,edcm1,edcm2,edcm3,edcm4,ffc1,ffc2,ffc3,ffc4,ffc5,fvc1,fvc2,fvc3,tuc1,tuc2,tuc3,tyc1,tyc2,tyc3,usc1,usc2,usc3,duration_10y,duration_2y,duration_5y,duration_30y,duration_3y,duration_7y,tyc1_yield,tyc2_yield,tuc1_yield,tuc2_yield,fvc1_yield,fvc2_yield,usc1_yield,usc2_yield,mpc1
18sep2013,Press Conference,.3160820941093099,3.02916978309648,-.0649999999999977,-.0100000000000051,-.0450000000000017,-.0299999999999869,0,0,0,0,0,-.265625,-.29296875,,-.0234375,-.02734375,,-.546875,-.5703125,,-.671875,-.625,-.03125,8.805999999999999,1.943,4.784,18.292,2.953,6.494,-.0842123498614105,-.0878214505697567,-.0120625321667524,-.0140729541945445,-.0555236204013378,-.0612392872073579,-.0762974108562344,-.070974335680218,0
18dec2013,Press Conference,1.05070731973199,-3.685842232173614,0,0,-.0024999999999977,-.0049999999999955,.0024999999999977,.0050000000000097,0,0,0,0,-.0078125,,-.01171875,-.03125,,.140625,.109375,,.140625,.125,,8.705,1.94,4.808,17.969,2.964,6.509,.0216047011829774,.0168036564756491,-.0060405927835052,-.0161082474226804,0,-.0016248960066556,.0161545089029294,.0143595634692705,.0059615383
19mar2014,Press Conference,-.2584276884513645,2.769124264451357,.085000000000008,.0799999999999983,.0700000000000074,.0150000000000006,0,0,0,0,0,.19140625,.16796875,,.0234375,.03515625,,.25,.2578125,,.109375,.109375,,8.715,1.944,4.784,18.382,2.882,6.511,.0383965596682537,.0395964521578867,.0120563271604938,.0180844907407407,.0400096676421405,.0351105246655518,.0125502008032129,.0125502008032129,0
18jun2014,Press Conference,.5226485310622712,-5.853658536585368,-.0049999999999955,-.0125000000000028,-.0300000000000011,-.0250000000000057,0,0,0,-.0050000000000097,-.0049999999999955,-.203125,-.22265625,,-.0625,-.046875,,-.2734375,-.296875,-.015625,-.28125,-.28125,,8.811,1.942,4.787,18.949,2.958,6.515,-.0419704528012279,-.0455679201841903,-.032183316168898,-.0241374871266735,-.0424326300396908,-.0465126906204303,-.0319203268641471,-.0319203268641471,0
17sep2014,Press Conference,-.1048142168007162,1.491334139459885,.0049999999999955,.0049999999999955,.0049999999999955,.0049999999999955,.0024999999999977,0,-.0049999999999955,-.0050000000000097,0,.08203125,.1015625,,0,.00390625,,.21875,.2265625,,.515625,.5,,8.858000000000001,1.947,4.776,19.325,2.951,6.517,.0335660580021482,.0347648457879392,0,.002006291730868,.017175722361809,.0212651800670017,.0582100925716866,.0564461503725446,.0057692309
17dec2014,Press Conference,.2084660085973598,-3.358024691358023,.0150000000000148,.0450000000000159,.0625,.0774999999999864,0,0,.0050000000000097,.0049999999999955,-.0024999999999977,.28515625,.33203125,,.109375,.125,,.3359375,.3828125,,.265625,.28125,-.046875,8.920999999999999,1.942,4.785,20.164,2.873,6.541,.0513587371961474,.0585250726188656,.0563208032955716,.0643666323377961,.0595937826541275,.0693900208986416,.029775249411501,.031526734671001,0
18mar2015,Press Conference,.2894843783615728,-1.923076923076938,0,-.019999999999996,-.0349999999999966,-.0499999999999972,0,0,-.0024999999999977,-.0025000000000119,-.0050000000000097,-.359375,-.37109375,,-.1015625,-.11328125,,-.53125,-.5703125,,-.765625,-1.28125,,9.025,1.945,4.804,21.179,2.956,6.571,-.0808476639780855,-.0867923451529448,-.0522172236503856,-.0582422879177378,-.0748074521232306,-.0772468255620316,-.0848337950138504,-.1419667590027701,0
17jun2015,Press Conference,.068815422274298,-2.024013722126929,-.022500000000008,-.0275000000000034,-.0300000000000011,-.0250000000000057,0,.0037500000000108,-.0049999999999955,-.0049999999999955,-.0099999999999909,-.17578125,-.1640625,,-.046875,-.05078125,,-.21875,-.2109375,,-.171875,-.046875,-.09375,8.962,1.862,4.79,19.791,2.874,6.545,-.0334224598930481,-.0322288006111536,-.0251745435016112,-.0272724221267454,-.0366975469728601,-.0342510438413361,-.0191781968310645,-.005230417317563,0
17sep2015,Press Conference,-.5241587252459802,7.885304659498203,-.0149999999999864,-.019999999999996,-.0300000000000011,-.0300000000000011,-.0024999999999977,-.0024999999999977,-.0150000000000006,-.0150000000000006,-.0150000000000006,-.46875,-.15625,,-.171875,-.078125,,-.203125,-.2109375,,-.546875,-.515625,,9.013999999999999,1.861,4.803,20.063,2.953,6.547,-.031025660607912,-.0322189552466779,-.0923562600752284,-.0419801182160129,-.0975952529668957,-.0325317509889652,-.0606695140891946,-.0572026847126692,-.0057692309
16dec2015,Press Conference,.9399296207937149,-6.598046978094484,0,0,.0049999999999955,.0100000000000051,.0049999999999955,.0049999999999955,.0050000000000097,.0049999999999955,.0050000000000097,0,.125,,.0234375,.08203125,,.234375,.15625,,.171875,.53125,,8.919,1.817,4.777,19.89,2.865,6.521,.0359415733783162,.0239610489188775,.0128990093560815,.0451465327462851,0,.0261670504500733,.019270658145532,.0595638524498262,.010333333
16mar2016,Press Conference,.6103501704369356,-5.32994923857868,-.0300000000000011,-.039999999999992,-.0450000000000017,-.0450000000000017,-.0024999999999977,0,-.0099999999999909,-.0149999999999864,-.019999999999996,-.125,-.09375,,-.0859375,-.09375,,-.1640625,-.078125,,.09375,.21875,.5,9.170999999999999,1.903,4.832,20.944,2.886,6.626,-.0247604135224872,-.0117906731059463,-.0451589595375723,-.0492643194955334,-.0258692052980132,-.0194019039735099,.0102224403009486,.0238523607022135,-.0051666666
15jun2016,Press Conference,-.4592610029280265,2.41459029026459,-.0049999999999955,-.0050000000000097,-.0074999999999932,-.0024999999999977,-.0012499999999989,0,-.0100000000000051,-.0049999999999955,-.0049999999999955,-.0234375,-.015625,,-.109375,0,,-.015625,-.0234375,,.09375,.046875,,9.188000000000001,1.945,4.808,21.279,2.884,6.606,-.0023652739933394,-.0035479109900091,-.0562339331619537,0,-.0048746880199667,-.0032497920133111,.0102035263387027,.0051017631693513,-.0024999999
21sep2016,Press Conference,.6100948029219473,-6.972607612949131,.0049999999999955,.0049999999999955,.0049999999999955,.0050000000000097,0,0,-.0050000000000097,0,0,-.0078125,.0625,,,.015625,,.640625,.015625,,.34375,-.34375,,9.217000000000001,1.924,4.811,21.722,2.872,6.632,.0965960494571773,.0023560012062726,,.0081211018711019,-.0016238827686552,.0129910621492413,.0372952153629163,-.0372952153629163,0
14dec2016,Press Conference,-.4580698402051012,2.393095331502547,.0024999999999977,.0099999999999909,.0200000000000102,.042500000000004,-.0024999999999977,0,-.0025000000000119,0,0,.21875,.26953125,,,.09375,,.4921875,.5,,1.0625,.78125,,9,1.943,4.765,19.877,2.876,6.495,.0757794457274827,.0769822940723634,,.0482501286670098,.0459076600209864,.0565647953830011,.1180555555555556,.0868055555555556,-.0045588235
15mar2017,Press Conference,.2190187205358985,-.5206073752711387,-.0100000000000051,-.0049999999999955,-.0100000000000051,-.019999999999996,-.0012499999999989,.0024999999999977,0,0,-.0049999999999955,-.0390625,-.17578125,,-.0390625,-.0390625,,-.2890625,-.28125,-.03125,-.25,-.40625,,8.913,1.944,4.756,19.788,2.866,6.501,-.0444643131825873,-.0432625749884633,-.020093878600823,-.020093878600823,-.0082133095037847,-.0369598927670311,-.0280489173117918,-.0455794906316616,-.002421875
14jun2017,Press Conference,-.1184678702018411,-.5198487712665547,0,0,.0100000000000051,.0099999999999909,0,-.0050000000000097,-.0049999999999955,-.0049999999999955,0,.109375,.09375,,.03515625,.0390625,,.1875,.15625,-.015625,.125,.265625,,8.893000000000001,1.942,4.77,20.144,2.864,6.528,.0287224264705882,.0239353553921569,.0181031153450051,.0201145726055613,.0229297693920335,.0196540880503145,.0140559991004161,.0298689980883841,0
20sep2017,Press Conference,.1458110289065589,-2.50860796851942,0,.0049999999999955,.0100000000000051,.0100000000000051,,0,0,0,.0049999999999955,,.0390625,,,.0234375,,.625,.0234375,,1.4375,-.171875,,8.912000000000001,1.92,4.76,20.443,2.847,6.527,.0957560900873295,.0035908533782749,,.01220703125,,.0082064075630252,.1612993716337522,-.0192857944344704,
13dec2017,Press Conference,-.0946291847649091,2.457757296466958,-.0024999999999977,-.0100000000000051,-.0150000000000006,-.019999999999996,0,-.0024999999999977,0,-.0049999999999955,-.0100000000000051,-.125,-.1328125,,-.078125,-.05078125,,-.1484375,-.1640625,,-.34375,-.171875,,8.920999999999999,1.934,4.658,20.55,2.852,6.499,-.0228400523157409,-.0252442683489768,-.0403955532574974,-.0262571096173733,-.0268355517389437,-.0285127737226277,-.0385326757090012,-.0192663378545006,0
