year,month,pc1ff1_hf,sp500_hf,MP_pm,CBI_pm,MP_median,CBI_median,MP_q25,CBI_q25,MP_q75,CBI_q75,MP_q10,CBI_q10,MP_q90,CBI_q90
2004,12,-0.01577191,0.05833,-0.01577191,-0,-0.01083045,-0.00494146,-0.01412324,-0.00164867,-0.0067615,-0.00901041,-0.01534923,-0.00042268,-0.00439368,-0.01137823
2005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,2,-0.01370416,0.00504,-0.01370416,-0,-0.0071065,-0.00659766,-0.01094473,-0.00275943,-0.0032012,-0.01050296,-0.0127855,-0.00091866,-0.00126177,-0.01244239
2005,3,0.07030851,-0.28511,0.07030851,0,0.04954658,0.02076193,0.06368827,0.00662024,0.03161113,0.03869738,0.06872734,0.00158117,0.02099095,0.04931756
2005,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,5,0.0206381,0.32116,0,0.0206381,-0.00589308,0.02653118,0.00692521,0.01371289,-0.01443791,0.03507601,0.01528308,0.00535502,-0.01650897,0.03714707
2005,6,0.04222349,-0.42657,0.04222349,0,0.04264496,-0.00042147,0.0456711,-0.00344761,0.03394275,0.00828074,0.04435872,-0.00213523,0.02690488,0.01531861
2005,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,8,-0.0246275,0.23399,-0.0246275,-0,-0.02412554,-0.00050196,-0.02620772,0.00158022,-0.01892982,-0.00569768,-0.02569395,0.00106645,-0.01486317,-0.00976433
2005,9,0.02705953,-0.12166,0.02705953,0,0.01967115,0.00738838,0.02485844,0.00220109,0.01286502,0.01419451,0.02659511,0.00046442,0.00874681,0.01831272
2005,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,11,0.0077548,0.24188,0,0.0077548,-0.00833268,0.01608748,-0.00092141,0.00867621,-0.01252542,0.02028022,0.00427841,0.00347639,-0.01299036,0.02074516
2005,12,-0.02162943,0.48448,-0.02162943,-0,-0.03527122,0.01364179,-0.03112751,0.00949808,-0.03296829,0.01133886,-0.02593628,0.00430685,-0.02867567,0.00704624
2006,1,0.03396711,-0.28159,0.03396711,0,0.03119819,0.00276892,0.03495068,-0.00098357,0.02369878,0.01026833,0.03494102,-0.00097391,0.01819622,0.01577089
2006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,3,0.05507042,-0.64595,0.05507042,0,0.06014271,-0.00507229,0.06217157,-0.00710115,0.04951863,0.00555179,0.05893765,-0.00386723,0.04010788,0.01496254
2006,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,5,0.05797155,-0.15511,0.05797155,0,0.03681571,0.02115584,0.05018805,0.0077835,0.02137943,0.03659212,0.0557017,0.00226985,0.01282946,0.04514209
2006,6,-0.04270063,0.49365,-0.04270063,-0,-0.04626972,0.00356909,-0.04799718,0.00529655,-0.0379736,-0.00472703,-0.04561213,0.0029115,-0.0306953,-0.01200533
2006,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,8,-0.04424494,-0.26456,-0,-0.04424494,-0.00876751,-0.03547743,-0.0271717,-0.01707324,0.00611637,-0.05036131,-0.03788632,-0.00635862,0.01165214,-0.05589708
2006,9,0.01467798,-0.24016,0.01467798,0,0.01946224,-0.00478426,0.01854735,-0.00386937,0.01718149,-0.00250351,0.01653014,-0.00185216,0.0144975,0.00018048
2006,10,-0.00982258,-0.03989,-0,-0.00982258,-0.00289765,-0.00692493,-0.00658005,-0.00324253,0.00025397,-0.01007655,-0.00863858,-0.001184,0.00153164,-0.01135422
2006,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,12,-0.03298921,0.28273,-0.03298921,-0,-0.03076679,-0.00222242,-0.03421329,0.00122408,-0.0235582,-0.00943101,-0.03404679,0.00105758,-0.01819016,-0.01479905
2007,1,-0.00951791,0.52273,-0.00951791,-0,-0.03114632,0.02162841,-0.02269621,0.0131783,-0.03264082,0.02312291,-0.01515256,0.00563465,-0.02995187,0.02043396
2007,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
