year,month,pc1eon1_me_njt,stoxx50_me_njt,MP_pm,CBI_pm,MP_median,CBI_median,MP_q25,CBI_q25,MP_q75,CBI_q75,MP_q10,CBI_q10,MP_q90,CBI_q90
2003,9,-0.00494854,-0.15110905,-0,-0.00494854,0.00209318,-0.00704172,-0.00111612,-0.00383242,0.00320694,-0.00815548,-0.00345663,-0.00149191,0.0026058,-0.00755434
2003,10,0.0142864,-0.77918705,0.0142864,0,0.03069507,-0.01640867,0.02705954,-0.01277314,0.02352498,-0.00923858,0.02018638,-0.00589998,0.0152297,-0.0009433
2003,11,0.00453532,0.10115685,0,0.00453532,-0.00078993,0.00532525,0.00175512,0.0027802,-0.00193215,0.00646747,0.00348152,0.0010538,-0.00168933,0.00622465
2003,12,-0.00935051,-0.46528059,-0,-0.00935051,0.00938841,-0.01873892,0.00141637,-0.01076688,0.01090804,-0.02025855,-0.00502192,-0.00432859,0.0082887,-0.01763921
2004,1,-0.00570874,0.32201916,-0.00570874,-0,-0.01258779,0.00687905,-0.01102189,0.00531315,-0.00968798,0.00397924,-0.00815587,0.00244713,-0.00628526,0.00057652
2004,2,-0.00839319,-0.08221407,-0,-0.00839319,-0.00171158,-0.00668161,-0.00530714,-0.00308605,0.00074386,-0.00913705,-0.00732468,-0.00106851,0.00116094,-0.00955413
2004,3,0.0393093,0.24664537,0,0.0393093,0.0121995,0.0271098,0.02757023,0.01173907,0.00024919,0.03906011,0.03546726,0.00384204,-0.00284638,0.04215568
2004,4,0.07296493,-0.37845871,0.07296493,0,0.04792183,0.0250431,0.06757632,0.00538861,0.02301897,0.04994596,0.07285638,0.00010855,0.01037144,0.06259349
2004,5,0.0106747,-0.37566942,0.0106747,0,0.01669241,-0.00601771,0.01616814,-0.00549344,0.01200698,-0.00133228,0.01334868,-0.00267398,0.00751327,0.00316143
2004,6,-0.01047553,0.16367397,-0.01047553,-0,-0.01018501,-0.00029052,-0.01184626,0.00137073,-0.00625396,-0.00422157,-0.01137816,0.00090263,-0.00353581,-0.00693972
2004,7,0.00049905,-0.2621215,0.00049905,0,0.00817246,-0.00767341,0.00555219,-0.00505314,0.00715769,-0.00665864,0.00267784,-0.00217879,0.00492932,-0.00443027
2004,8,0.0006859,0.05590263,0,0.0006859,-0.00134677,0.00203267,-0.0005309,0.0012168,-0.0013874,0.0020733,0.00018554,0.00050036,-0.00101558,0.00170148
2004,9,0.01226794,-0.1622594,0.01226794,0,0.01103846,0.00122948,0.01329622,-0.00102828,0.00653051,0.00573743,0.01307795,-0.00081001,0.00359007,0.00867787
2004,10,-0.01174128,-0.06097013,-0,-0.01174128,-0.00402774,-0.00771354,-0.00848402,-0.00325726,-0.00041699,-0.01132429,-0.01070036,-0.00104092,0.00061244,-0.01235372
2004,11,-0.00543329,-0.07725479,-0,-0.00543329,-0.00038153,-0.00505176,-0.0029642,-0.00246909,0.00112979,-0.00656308,-0.00453976,-0.00089353,0.00120144,-0.00663473
2004,12,0.01333335,-0.34658875,0.01333335,0,0.01714274,-0.00380939,0.01778966,-0.00445631,0.0116894,0.00164395,0.01564335,-0.00231,0.00708866,0.00624469
2005,1,-0.03347474,0.02423328,-0.03347474,-0,-0.01746985,-0.01600489,-0.0280726,-0.00540214,-0.00653104,-0.0269437,-0.03217033,-0.00130441,-0.00196156,-0.03151318
2005,2,-0.00350263,-0.32887773,-0,-0.00350263,0.00818941,-0.01169204,0.00356234,-0.00706497,0.00825567,-0.0117583,-0.00058297,-0.00291966,0.00599871,-0.00950134
2005,3,-0.00718546,0.16930795,-0.00718546,-0,-0.00871027,0.00152481,-0.00924434,0.00205888,-0.00582826,-0.0013572,-0.00828361,0.00109815,-0.00349307,-0.00369239
2005,4,-0.01347769,-0.31312757,-0,-0.01347769,0.00272581,-0.0162035,-0.00497021,-0.00850748,0.00607945,-0.01955714,-0.01024096,-0.00323673,0.00525453,-0.01873222
2005,5,0.00148418,0.25566349,0,0.00148418,-0.00698565,0.00846983,-0.00379051,0.00527469,-0.00663529,0.00811947,-0.00072971,0.00221389,-0.00471909,0.00620327
2005,6,0.01500552,-0.14392818,0.01500552,0,0.01185316,0.00315236,0.01519363,-0.00018811,0.00651673,0.00848879,0.01553827,-0.00053275,0.00337024,0.01163528
2005,7,0.01925217,0.93338077,0,0.01925217,-0.01858647,0.03783864,-0.00243366,0.02168583,-0.02179536,0.04104753,0.01054649,0.00870568,-0.01660536,0.03585753
2005,8,0.001029,-0.05242843,0.001029,0,0.00209921,-0.00107021,0.00187656,-0.00084756,0.00159479,-0.00056579,0.00142294,-0.00039394,0.0010278,1.2e-06
2005,9,-0.00476272,0.11799447,-0.00476272,-0,-0.00594788,0.00118516,-0.00624062,0.0014779,-0.00401883,-0.00074389,-0.00553908,0.00077636,-0.00242336,-0.00233936
2005,10,-0.00188755,0.19684521,-0.00188755,-0,-0.00689366,0.00500611,-0.00541669,0.00352914,-0.00564082,0.00375327,-0.00345561,0.00156806,-0.00376991,0.00188236
