year,month,MP_median_fed,MP_median_ecb,us_wuxia,sp500_a,bofaml_us_hyld_oas_a,eurusd_a,broadexea_usd_a,us_rgdp,us_gdpdef
2005,5,-0.00589308,-0.00698565,3.145371872,707.25275,4.2277274,-23.845037,462.12488,956.35602,446.58826
2005,6,0.04264496,0.01185316,3.317394599,709.19342,3.9027274,-19.594517,462.30505,957.3324,446.70239
2005,7,0,-0.01858647,3.576478216,710.72803,3.5033333,-18.538637,462.60361,957.51025,447.03403
2005,8,-0.02412554,0.00209921,3.63162502,711.00604,3.373913,-20.637873,461.45343,958.01385,447.36481
2005,9,0.01967115,-0.00594788,4.137866949,711.1123,3.639091,-20.337061,461.14465,957.28979,448.05936
2005,10,0,-0.00689366,4.200079006,708.3302,3.5847619,-18.351591,461.96921,957.7193,448.26013
2005,11,-0.00833268,-0.02502617,4.325790536,712.16632,3.6213636,-16.426245,462.43719,958.05597,448.23978
2005,12,-0.03527122,-0.02750456,4.362988749,714.07361,3.6519048,-17.02244,461.73111,959.07721,448.36389
2006,1,0.03119819,-0.01461912,4.534623804,715.28131,3.5457144,-19.08386,460.58655,959.11621,448.80176
2006,2,0,-0.00520839,4.604232859,715.23639,3.335,-17.715397,460.52017,959.46252,448.96017
2006,3,0.06014271,0.02068152,4.765900614,716.526,3.251739,-18.396221,460.95749,960.26697,449.18884
2006,4,0,-0.05450455,4.912221779,717.12708,3.061579,-20.46069,460.57996,959.65088,449.57291
2006,5,0.03681571,0.00024381,5.065070746,716.18958,3.0186956,-24.446047,458.70654,960.02295,449.82419
2006,6,-0.04626972,-0.03776506,5.262575237,713.33112,3.2809091,-23.502655,459.99472,959.7984,450.05063
2006,7,0,0.01375007,5.225841574,713.974,3.3704762,-23.770531,459.72525,959.47534,450.32663
2006,8,-0.00876751,0.01462182,5.203603073,716.01318,3.4182611,-24.773598,459.04446,959.94812,450.62231
2006,9,0.01946224,0,5.154019195,718.3432,3.4280953,-24.116402,459.23108,960.24463,450.59457
2006,10,-0.00289765,-0.00295487,5.1526349,721.76654,3.2522728,-23.197083,459.44638,960.44537,450.625
2006,11,0,0.02457726,5.128251804,723.6604,3.1400001,-25.313292,458.92807,960.94635,450.8179
2006,12,-0.03076679,-0.01126204,5.168082651,725.58728,3.0020001,-27.858799,458.55286,960.62122,451.203
2007,1,-0.03114632,-0.04024611,5.142853094,726.13446,2.7622728,-26.223217,459.49701,960.76471,451.56815
2007,2,0,0.01155427,5.133778464,727.60358,2.6205001,-26.803343,459.21643,961.30652,451.86606
2007,3,-0.0879524,0.0023533,5.175418572,724.90881,2.8604546,-28.077658,458.92175,960.61871,452.14606
2007,4,0,0.00798687,5.218030892,728.79327,2.737,-30.127323,457.6329,961.35004,452.2937
2007,5,0.0258708,0.00209403,5.101846207,732.07208,2.5713637,-30.093357,456.45599,961.56293,452.51114
2007,6,0.01996561,-0.00017063,5.006769964,732.27844,2.5952382,-29.404139,455.92477,961.51434,452.71234
2007,7,0,0.00402316,5.020658647,732.6875,3.3486364,-31.593065,454.82523,961.21851,452.90924
2007,8,0.03301931,-0.00010969,4.637870944,728.23901,4.3099999,-30.910328,455.38824,962.36633,452.97632
2007,9,-0.17818027,-0.0348151,4.291435514,731.03662,4.4355001,-32.895409,454.12274,962.53149,453.16769
2007,10,0.05737708,0.00153214,4.292607374,733.92517,4.1608696,-35.256313,451.92789,962.52606,453.23264
2007,11,0,0.00063743,3.687703349,728.68311,5.3109093,-38.411385,450.81754,962.5011,453.46918
2007,12,0.10132841,0.02128477,3.698654342,729.91962,5.6945,-37.635864,451.9151,962.77271,453.54608
2008,1,-0.14467573,0.00805756,2.655856103,722.67566,6.7968183,-38.645409,451.34344,962.84528,453.66846
2008,2,0,-0.00615526,2.13786591,721.11951,7.2452383,-38.846985,450.35443,961.36102,453.7616
2008,3,0.08362175,0.03161515,1.874528626,718.33893,8.0830002,-43.987209,449.04993,961.52423,453.92316
2008,4,-0.0622122,-0.00103372,1.812423398,722.28088,7.3931818,-45.425255,449.0025,961.97144,454.02832
2008,5,0,0.00737455,1.95643709,724.55865,6.6927271,-44.18911,449.10501,962.01538,454.26801
2008,6,-0.01204902,0.08483576,2.054012074,720.10419,6.7309523,-44.162365,449.45612,963.22595,454.65854
2008,7,0,-0.08309224,2.052309765,713.68408,7.7486959,-45.548435,448.87488,962.67609,454.85617
2008,8,-0.0210748,-0.0013252,2.126082808,715.57043,8.1914282,-40.359627,451.10397,962.28998,454.948
2008,9,0.09301712,0.01942877,1.911304262,710.59863,9.1899996,-36.239868,453.30508,960.73163,455.38705
2008,10,0.0557887,-0.00373442,1.83924343,687.30743,14.942609,-28.618418,460.2099,960.1015,455.59424
2008,11,-0.05756718,0.13786499,1.41995424,678.14844,17.863001,-24.149876,462.67404,960.4024,455.29752
2008,12,-0.19092632,0.06917478,0.649730964,677.68237,20.309546,-29.522648,462.7861,958.55322,455.21948
2009,1,0.00023071,0.00518888,0.611179098,676.16364,16.756191,-28.031738,463.13995,958.84149,455.3317
2009,2,0,-0.01425943,0.876102516,669.12311,16.493999,-24.562712,465.44159,958.78143,455.45285
2009,3,-0.10091138,-0.00488458,0.750245201,662.73846,17.837727,-26.575237,466.51373,958.3407,455.29858
2009,4,-0.02884621,0.04210647,0.4266285,674.33081,15.596667,-27.682699,463.496,958.27655,455.19934
2009,5,0,-0.00296134,0.206639054,680.41431,12.544286,-31.103138,460.26901,958.45001,455.10876
2009,6,0.04618757,0.01877481,0.021533679,683.08429,10.805909,-33.760757,459.08563,958.55902,455.34415
2009,7,0,0.01776501,-0.117377576,683.87366,10.27,-34.268448,458.7598,958.37823,455.24457
2009,8,0.00539552,0.00373613,-0.282742694,691.73352,8.9714289,-35.541199,457.34708,958.89783,455.34177
2009,9,-0.07909794,-0.01466165,-0.406046108,695.10889,8.4522724,-37.573898,456.96783,959.05396,455.38168
2009,10,0,-0.00633446,-0.474629614,697.30225,7.7704544,-39.310486,455.46274,960.28973,455.5773
2009,11,-0.01458923,-0.03195791,-0.610396798,699.19611,7.5619049,-39.972271,454.95047,959.81079,455.69971
2009,12,0.00522684,-0.02897122,-0.153977592,701.24121,6.9363637,-37.91869,455.10355,959.28577,455.70331
2010,1,0.00789317,-0.00023464,-0.447700339,702.40332,6.21,-35.564182,454.74332,960.01471,455.81909
2010,2,0,0.0264741,-0.54468785,699.30389,6.7319999,-31.371456,455.92197,960.1073,455.86182
2010,3,-0.02757988,-0.01545917,-0.476349444,704.91644,6.1217389,-30.51269,454.5777,960.74078,456.05643
2010,4,-0.01699438,0.00518126,-0.466496,708.77942,5.5938096,-29.305843,453.64963,961.25293,456.26355
2010,5,0,0.02494953,-0.482831831,702.49939,6.5009522,-22.80962,455.93842,961.00586,456.40759
2010,6,-0.01429866,-0.02243858,-0.542088201,698.7558,7.016818,-19.949142,455.9736,961.55127,456.45294
2010,7,0,0.00560781,-0.589675191,698.42212,6.7872729,-24.438566,455.02414,962.15045,456.53687
2010,8,-0.04632951,0.01326309,-0.698543958,699.10919,6.755909,-25.405279,454.13287,961.69476,456.6687
2010,9,-0.03473425,-0.00292754,-0.795698812,702.27777,6.4213638,-26.723234,453.30569,962.11304,456.79245
2010,10,0,-0.00270444,-0.995158009,706.60474,6.0119047,-32.911861,451.21591,962.49475,457.06198
2010,11,0.02358402,-0.00024076,-0.956014091,708.90741,5.8727274,-31.168982,451.17523,962.14783,457.22931
2010,12,-0.00162431,-0.0049142,-0.884818562,712.4021,5.5513043,-27.912958,451.33752,962.66492,457.38641
2011,1,-0.0030752,0.01807098,-1.011230476,715.66327,5.1242857,-28.94626,450.16586,961.53253,457.57425
2011,2,0,-0.02367857,-1.091306473,718.61938,4.6574998,-31.104633,449.67184,961.77069,457.73782
2011,3,-0.01090961,0.06846839,-0.991459607,717.34656,4.8365216,-33.636719,449.02649,963.08734,457.97482
2011,4,-0.03845607,-0.00217061,-1.066277564,719.3996,4.6574998,-36.745132,447.53558,963.20801,458.22241
2011,5,0,-0.0578576,-1.14043546,719.91205,4.8468184,-36.091667,447.36978,962.86761,458.46429
2011,6,0.02017106,-0.01485803,-1.121865999,716.02191,5.4900002,-36.378365,447.47806,962.38177,458.56717
2011,7,0,-0.01264089,-1.192269731,718.92261,5.427619,-35.511543,446.41525,962.68219,458.86316
2011,8,0.03089548,-0.04350446,-1.377129802,707.70819,6.9904346,-36.06657,447.31268,963.1452,459.10809
2011,9,0.04082922,0.01120917,-1.402458124,706.78394,7.6754546,-31.974121,450.14252,962.36676,459.20303
2011,10,0,0.10217514,-1.43724789,709.52911,7.9085712,-31.50923,451.47772,963.97632,459.12015
2011,11,-0.01602411,-0.06924379,-1.483538621,711.14783,7.6063638,-30.415195,452.10654,963.78503,459.22366
2011,12,0.04212979,0.03156807,-1.466437995,712.54376,7.5304761,-27.593664,452.63083,963.79175,459.29327
2012,1,-0.03782059,0.02487003,-1.539785962,717.04877,6.835238,-25.495279,451.55768,964.14185,459.61389
2012,2,0,-0.01354431,-1.451687169,720.9657,6.2442856,-27.941038,449.77106,965.57745,459.84909
2012,3,0.0076193,0.00643328,-1.266089579,723.64001,5.9618182,-27.768467,450.44971,964.25372,460.04028
2012,4,-0.00350331,0.00650996,-1.262019666,723.44202,6.1335001,-27.471287,450.78287,964.91644,460.19406
2012,5,0,0.03930978,-1.237225286,720.11053,6.3134785,-24.584137,452.46667,965.22565,460.20874
2012,6,0.03308859,0.03194384,-1.111066935,718.78741,6.7871428,-22.521875,453.77856,965.06769,460.28696
2012,7,0,-0.00798552,-1.178774127,721.50116,6.355,-20.601181,452.68521,965.50446,460.44586
2012,8,0.00816386,0.09829777,-1.258669075,724.66425,5.9230433,-21.506769,451.78366,964.93427,460.7576
2012,9,-0.0449995,-0.03309228,-1.360464257,727.46924,5.605,-25.112087,450.60187,965.19794,461.01953
2012,10,0.00164402,0.00514714,-1.338975141,727.08063,5.4877272,-26.036272,450.42001,964.78271,461.23822
2012,11,0,0.0072861,-1.422846345,724.01733,5.7090907,-24.899418,451.13834,965.22632,461.23691
2012,12,0.00741403,-0.00369595,-1.429900801,725.99878,5.3365002,-27.147078,450.80243,965.85474,461.27914
2013,1,0.00377002,-0.00274618,-1.357628472,730.00037,4.9181819,-28.421143,451.02939,966.61639,461.45291
2013,2,0,-0.00642548,-1.422478556,732.13727,4.993,-28.953901,452.05319,965.65314,461.75061
2013,3,-0.01316947,0.00823073,-1.440589326,734.65131,4.8015003,-25.954004,452.5527,966.0545,461.74539
2013,4,0,0.02382699,-1.523675285,735.92273,4.764091,-26.433622,452.18448,966.13226,461.78864
2013,5,-0.00859214,-0.00537859,-1.269020085,740.22632,4.3782606,-26.09516,452.77869,965.98816,461.90924
2013,6,0.06207573,0.03075742,-0.969520218,738.93365,5.0504999,-27.673717,454.08563,966.67773,462.11499
2013,7,-0.02153471,-0.05759092,-1.522271332,741.96503,4.8169565,-26.845003,454.69604,966.73499,462.25021
2013,8,0,-0.00252689,-1.666404526,742.05096,4.7509522,-28.588503,454.83954,967.16388,462.43054
2013,9,-0.08067005,-0.00605325,-1.802347805,743.07227,4.6428571,-28.87182,454.67313,967.13385,462.57077
2013,10,0.01784401,0.00641104,-1.852104774,744.98798,4.554348,-31.002663,453.80746,967.55591,462.81656
2013,11,0,-0.03373775,-1.99894111,748.63092,4.3238096,-29.956768,454.72009,968.09259,463.00815
2013,12,-0.09375598,0.01710847,-2.133235027,749.97711,4.0871429,-31.505722,455.21603,967.82782,463.18155
2014,1,0.02229805,0.00688984,-2.376123278,750.77966,3.9677272,-30.823122,456.29996,967.21924,463.30142
2014,2,0,0.01876937,-2.54228501,750.4765,4.0304999,-31.175472,456.58792,967.63574,463.37088
2014,3,0.05136615,0.03020747,-2.624386887,753.02063,3.8076191,-32.370281,456.59695,967.66846,463.56406
2014,4,-0.00061743,-0.01293586,-2.891785821,753.05627,3.7052381,-32.298374,456.0101,968.40924,463.78278
2014,5,0,-0.00515233,-2.985642686,754.41754,3.7536364,-31.712114,455.46423,968.922,463.98242
2014,6,-0.04801212,-0.0345062,-2.88858154,757.40686,3.4719048,-30.692024,455.44315,969.22229,464.1405
2014,7,-0.02400251,-0.01694206,-2.836697391,758.73431,3.6530435,-30.298178,455.04041,969.87195,464.31833
2014,8,0,0.00071121,-2.89256163,758.13531,3.9780953,-28.636919,455.95337,970.41718,464.39017
2014,9,0.00090073,-0.06133016,-2.805138911,759.74915,4.0599999,-25.469255,457.13431,969.8891,464.48453
2014,10,0.03132085,0.05120082,-2.801709471,756.87933,4.514348,-23.685165,458.48828,970.61011,464.54584
2014,11,0,-0.03481731,-2.768344319,762.29083,4.447,-22.091156,460.20422,970.64111,464.57492
2014,12,-0.05725338,0.05304418,-2.420747928,762.75464,5.0759091,-20.95195,462.82956,970.44702,464.55109
2015,1,0.00671529,-0.01831947,-2.268755008,761.48376,5.296,-15.00382,464.1655,971.07928,464.32809
2015,2,0,0,-1.973647789,764.10852,4.724,-12.658936,465.3085,971.89673,464.50974
2015,3,-0.13904836,0.0003118,-1.808445075,764.02692,4.6645455,-8.0273142,466.70975,971.13165,464.73862
2015,4,-0.00663825,-0.00127818,-1.594953161,764.72156,4.6266665,-7.4940352,465.62128,972.03375,464.86047
2015,5,0,0,-1.433637114,765.534,4.506,-10.871885,465.25998,971.97974,465.09903
2015,6,-0.05449631,0.00835021,-1.402027994,764.9317,4.6599998,-11.447179,466.26755,972.41833,465.29764
2015,7,-0.01305017,-0.00136731,-1.288219506,764.68384,5.1060867,-9.4897928,467.96887,972.35962,465.42438
2015,8,0,0,-0.920617426,761.99908,5.6580954,-10.774023,470.39307,972.2666,465.47672
2015,9,-0.03219464,-0.03002138,-0.742078595,757.25983,5.8681817,-11.519821,471.5564,972.73804,465.42371
2015,10,0.05756994,-0.07087173,-0.532405066,761.30078,6.2109089,-11.637166,470.46747,972.54071,465.45807
2015,11,0,0,-0.00499965,764.03662,6.1361904,-7.0946569,471.4476,972.21124,465.48184
2015,12,-0.03905824,0.15754892,0.257343933,762.75122,6.8709092,-8.4030476,472.97333,972.51538,465.38617
2016,1,0.00450013,-0.02265363,0.401942968,755.90765,7.618,-8.2458019,475.70224,972.4834,465.31805
2016,2,0,0,0.525883588,755.17529,8.2257147,-10.365461,475.04315,972.48816,465.26318
2016,3,-0.11088436,0.00347546,0.506534787,761.17273,6.983182,-10.422594,472.50912,973.56171,465.44199
2016,4,-0.00719905,0.00829757,0.407831709,763.79321,6.6390476,-12.566995,470.87314,973.22522,465.81387
2016,5,0,0,0.484172489,763.31146,6.2609091,-12.313301,472.08282,973.14911,466.03433
2016,6,-0.00040414,0.01338634,0.417986942,764.18976,6.1040912,-11.585756,472.3512,973.4256,466.20837
2016,7,-0.00828857,0.00436916,0.470311804,767.26251,5.6471429,-10.150883,472.95001,973.27698,466.26181
2016,8,0,0,0.44985548,768.59174,5.3000002,-11.435212,472.15265,973.80841,466.38641
2016,9,-0.06209768,0.02787463,0.510288419,767.67542,5.1454544,-11.440081,473.12311,974.30646,466.50626
2016,10,0,-0.00326282,0.522724628,766.99573,4.7366667,-9.7624273,473.97879,973.784,466.73447
2016,11,-0.00332058,0,0.4292559,768,4.889091,-7.6696157,476.38754,974.47406,466.83109
2016,12,0.05890339,-0.02237359,0.422156164,771.71259,4.2857141,-5.2798734,477.7226,974.65051,467.02069
2017,1,0,-0.01075542,0.3791602,772.97754,4.0114288,-5.9579172,477.8186,974.39801,467.27646
2017,2,-0.02154964,0,0.391065588,775.34906,3.8529999,-6.2258887,476.05658,974.73468,467.37375
2017,3,-0.05361593,-0.01138771,0.636018155,776.92847,3.8982608,-6.6174765,475.62286,975.38885,467.36124
2017,4,0,-0.00210439,0.846359595,776.6098,3.9163158,-6.9721546,474.72906,974.64893,467.56351
2017,5,0.00575696,0,1.029010671,778.12659,3.7434783,-10.044558,474.86649,975.54517,467.64209
2017,6,0.02056176,0.00440425,1.056183292,779.72809,3.7509091,-11.59326,473.64777,975.98981,467.79343
